T,L,R
65,65,66.25
68.3,69.55,9999
72.3,73.55,78.3
72.3,82.3,9999
77.3,78.55,83.3
65.3,75.3,9999
68.3,78.3,9999
72.3,82.3,9999
65.3,75.3,9999
68.3,69.55,9999
77.3,87.3,9999
65.3,71.3,9999
77.3,87.3,9999
65.3,66.55,9999
77.3,87.3,9999
65.3,75.3,9999
72.3,73.55,78.3
65.3,75.3,9999
68.3,78.3,9999
77.3,87.3,9999
65.3,75.3,9999
68.3,78.3,9999
72.3,73.55,78.3
65.3,75.3,9999
68.3,69.55,74.3
72.3,73.55,78.3
77.3,83.3,87.3
72.3,82.3,9999
77.3,87.3,9999
65.3,75.3,9999
72.3,82.3,9999
68.3,78.3,9999
72.3,82.3,9999
77.3,87.3,9999
68.3,78.3,9999
65.3,75.3,9999
72.3,78.3,82.3
77.3,83.3,87.3
68.3,74.3,78.3
65.3,75.3,9999
68.3,69.55,9999
72.3,73.55,78.3
68.3,78.3,9999
77.9,77.9,79.15
68.3,74.3,9999
72.3,78.3,82.3
77.9,77.9,79.15
68.3,78.3,9999
68.3,78.3,9999
78.3,84.3,88.3
65.3,75.3,9999
65.3,66.55,9999
68.3,69.55,9999
65.3,65.3,66.55
78.3,88.3,9999
68.3,78.3,9999
78.3,88.3,9999
65.3,75.3,9999
68.3,78.3,9999
72.3,82.3,9999
65.3,75.3,9999
68.3,74.3,9999
72.3,78.3,9999
78.3,79.55,9999
78.3,84.3,88.3
68.3,78.3,9999
78.3,84.3,88.3
72.3,73.55,78.3
65.3,75.3,9999
68.3,78.3,9999
72.3,78.3,82.3
72.3,82.3,9999
78.3,78.3,79.55
72.3,72.3,73.55
78.3,84.3,88.3
65.3,75.3,9999
65.3,75.3,9999
68.3,78.3,9999
72.3,73.55,78.3
65.3,71.3,75.3
72.3,78.3,82.3
78.3,84.3,88.3
65.3,66.55,9999
68.3,74.3,78.3
72.3,82.3,9999
78.3,88.3,9999
65.3,75.3,9999
78.3,79.55,84.3
65.3,66.55,9999
68.3,74.3,78.3
72.3,82.3,9999
78.3,88.3,9999
68.3,78.3,9999
72.3,78.3,82.3
65.3,75.3,9999
68.3,74.3,78.3
78.3,88.3,9999
65.3,66.55,71.3
68.3,69.55,74.3
